,Movie Title,Release Year,Runtime,IMDB_Rating,Director,Star1,Star2,Star3,Star4,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,Ranking,Release Date,Production Budget,Domestic Gross,Worldwide Gross
0,The Shawshank Redemption,1994,142,9.3,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1994-09-23,25000000,28313053,28784937
1,The Dark Knight,2008,152,9.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,2008-07-11,185000000,536625724,1010086005
2,The Godfather: Part II,1974,202,9.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1974-12-11,13000000,57300000,57386697
3,The Lord of the Rings: The Return of the King,2003,201,8.9,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,2003-12-17,94000000,381472917,1123837908
4,Inception,2010,148,8.8,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,2010-07-16,160000000,293662683,826873382
5,Fight Club,1999,139,8.8,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,1999-10-15,65000000,37030102,100820947
6,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,2001-12-19,93000000,318651105,894291662
7,Forrest Gump,1994,142,8.8,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1994-07-06,55000000,330151138,679835137
8,The Lord of the Rings: The Two Towers,2002,179,8.7,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,2002-12-18,94000000,345115396,921711177
9,The Matrix,1999,136,8.7,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,965,1999-03-31,65000000,174304288,466281862
10,Goodfellas,1990,146,8.7,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1990-09-19,25000000,46743809,47103483
11,Interstellar,2014,169,8.6,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,194,2014-11-05,165000000,203225563,641756828
12,Saving Private Ryan,1998,169,8.6,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,961,1998-07-24,65000000,216335085,485035085
13,The Green Mile,1999,189,8.6,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1999-12-10,60000000,136801374,290701374
14,Se7en,1995,127,8.6,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1995-09-15,30000000,100908157,328908157
15,The Silence of the Lambs,1991,118,8.6,Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,1991-02-14,20000000,130726716,275726375
16,Joker,2019,122,8.5,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,2019-10-02,55000000,335451311,1063574394
17,The Prestige,2006,130,8.5,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,2006-10-20,40000000,53089891,104407366
18,The Departed,2006,151,8.5,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,585,2006-10-06,90000000,132384315,289660619
19,Gladiator,2000,155,8.5,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,2000-05-01,103000000,187683805,451683599
20,Léon,1994,110,8.5,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1994-11-18,16000000,19284974,45258012
21,The Lion King,1994,88,8.5,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,1994-06-15,79300000,423981226,988389726
22,Terminator 2: Judgment Day,1991,137,8.5,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,477,1991-07-02,100000000,203464105,515344899
23,Back to the Future,1985,116,8.5,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1985-07-03,19000000,215612287,388862657
24,Avengers: Endgame,2019,181,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019-04-23,400000000,858373000,2717503922
25,Avengers: Infinity War,2018,149,8.4,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2018-04-25,300000000,678815482,2048359754
